Date,EnquiryType,Postcode sector,Ward Lookup or Given,What assistance do you require?,How urgent is your need?,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS11 0,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS9 7,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS9 7,Burmantofts & Richmond Hill,Pick up a prescription,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS9 9,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,WF3 3,Ardsley & Robin Hood,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS13 2,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS15 0,Temple Newsam,Pick up a prescription,Amber - Required in 2-6 days,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS7 3,Chapel Allerton,Help with food and essential shopping,Amber - Required in 2-6 days,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS11 5,Hunslet & Riverside,,,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS28 5,Calverley & Farsley,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS10 4,Middleton Park,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS10 2,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS8 5,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS9 8,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS9 0,Temple Newsam,Food parcel,Amber - Required in 2-6 days,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS2 9,Little London & Woodhouse,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS10 4,Middleton Park,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS9 7,Burmantofts & Richmond Hill,,,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS12 3,Farnley & Wortley,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS9 7,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS8 4,Gipton & Harehills,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS12 3,Armley,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS17 5,Moortown,Food parcel,Amber - Required in 2-6 days,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS8 2,Roundhay,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS10 4,Middleton Park,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS13 2,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS13 1,Calverley & Farsley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS23 6,Wetherby,,,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS8 3,Gipton & Harehills,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS18 5,Horsforth,Food parcel,Amber - Required in 2-6 days,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,WF12 7,,,,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS15 0,Temple Newsam,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS28 5,Calverley & Farsley,Pick up a prescription,Amber - Required in 2-6 days,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS13 2,Bramley & Stanningley,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS28 6,Bramley & Stanningley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS28 5,Calverley & Farsley,Pick up a prescription,Amber - Required in 2-6 days,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS15 0,Temple Newsam,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS21 1,Adel & Wharfedale,Pick up a prescription,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS6 3,Kirkstall,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required - non eligibility,LS11 8,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
26/06/2020 00:00,Assistance required- DBS checked volunteer,,,,,,,,,,,
26/06/2020 00:00,Assistance required- DBS checked volunteer,LS23 6,Wetherby,,,,,,,,,
26/06/2020 00:00,Declined Help,LS27 8,Morley South,,,,,,,,,
26/06/2020 00:00,Declined Help,LS6 4,Moortown,,,,,,,,,
26/06/2020 00:00,Declined Help,LS15 7,Killingbeck & Seacroft,,,,,,,,,
26/06/2020 00:00,Declined Help,LS9 9,Burmantofts & Richmond Hill,,,,,,,,,
26/06/2020 00:00,Declined Help,LS12 3,Armley,,,,,,,,,
26/06/2020 00:00,Declined Help,LS15 8,Cross Gates & Whinmoor,,,,,,,,,
26/06/2020 00:00,Declined Help,LS15 0,Temple Newsam,,,,,,,,,
26/06/2020 00:00,Declined Help,LS9 9,Burmantofts & Richmond Hill,,,,,,,,,
26/06/2020 00:00,Declined Help,LS19 7,Otley & Yeadon,,,,,,,,,
26/06/2020 00:00,Declined Help,LS19 7,Guiseley & Rawdon,,,,,,,,,
26/06/2020 00:00,Declined Help,LS28 8,Calverley & Farsley,,,,,,,,,
26/06/2020 00:00,Declined Help,LS15 0,Temple Newsam,,,,,,,,,
26/06/2020 00:00,Declined Help,LS9 6,Gipton & Harehills,,,,,,,,,
26/06/2020 00:00,Declined Help,LS9 0,Burmantofts & Richmond Hill,,,,,,,,,
26/06/2020 00:00,Declined Help,LS10 2,Hunslet & Riverside,,,,,,,,,
26/06/2020 00:00,Declined Help,LS12 5,Farnley & Wortley,,,,,,,,,
26/06/2020 00:00,Referral to LWSS,LS8 4,Gipton & Harehills,,,,,,,,,
26/06/2020 00:00,Referral to LWSS,LS14 6,Killingbeck & Seacroft,,,,,,,,,
26/06/2020 00:00,Shielded Cohort - Inbound,LS28 5,Calverley & Farsley,,,,,,,,,
26/06/2020 00:00,Shielded Cohort - Inbound,LS16 9,Adel & Wharfedale,,,,,,,,,
26/06/2020 00:00,Shielded Cohort - Inbound,LS11 8,Beeston & Holbeck,,,,,,,,,
26/06/2020 00:00,Shielded Cohort - Inbound,LS27 0,Morley South,,,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS11 9,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS13 1,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 6,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS12 1,Armley,,,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS26 8,Garforth & Swillington,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS13 4,Pudsey,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 6,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 6,Burmantofts & Richmond Hill,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS10 3,Middleton Park,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 6,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS26 8,Rothwell,,,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS8 5,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS12 1,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS12 1,Armley,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS10 2,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS10 4,Middleton Park,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS27 9,Morley South,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 6,Burmantofts & Richmond Hill,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS10 4,Middleton Park,Help with food and essential shopping|Baby products,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS12 1,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS14 6,Killingbeck & Seacroft,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 7,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 7,Burmantofts & Richmond Hill,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS10 3,Middleton Park,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS28 6,Bramley & Stanningley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 7,Burmantofts & Richmond Hill,Fuel top up (pre-payment meter only,Amber - Required in 2-6 days,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 6,Burmantofts & Richmond Hill,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS2 9,Little London & Woodhouse,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 6,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS8 3,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS11 8,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS13 2,Bramley & Stanningley,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS12 1,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS13 1,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS10 2,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS11 5,Hunslet & Riverside,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS18 5,Horsforth,,,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS11 5,Hunslet & Riverside,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS8 3,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS11 5,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 6,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS7 1,Little London & Woodhouse,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,,Farnley & Wortley,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,,,,,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS13 3,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 7,Gipton & Harehills,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS9 9,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS13 1,Bramley & Stanningley,,,,,,,,,
25/06/2020 00:00,1st Request - Assistance Required,LS13 4,Farnley & Wortley,,,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS9 6,Gipton & Harehills,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS27 9,Morley South,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS9 9,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS11 6,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS8 3,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS9 6,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS12 5,Farnley & Wortley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS12 3,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS9 6,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS9 7,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS12 3,Armley,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS11 7,Hunslet & Riverside,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS8 3,Killingbeck & Seacroft,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS28 7,Pudsey,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS8 3,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS8 3,Gipton & Harehills,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS9 6,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS8 4,Gipton & Harehills,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS26 0,Rothwell,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS7 2,Chapel Allerton,"Food parcel|Fuel top up (pre-payment meter only|Sanitary products, incontinence products or condoms",Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS11 6,Hunslet & Riverside,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS11 8,Beeston & Holbeck,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS16 5,Kirkstall,"Food parcel|Sanitary products, incontinence products or condoms",Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS14 6,Killingbeck & Seacroft,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS6 3,Headingley & Hyde Park,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS13 2,Bramley & Stanningley,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS12 2,Armley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS12 4,Farnley & Wortley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS8 3,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS12 5,Farnley & Wortley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS15 0,Temple Newsam,Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS9 7,Burmantofts & Richmond Hill,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS14 6,Killingbeck & Seacroft,Help with food and essential shopping,Green - Required in 7 days or more,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS8 5,Gipton & Harehills,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS10 3,Middleton Park,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,2nd Request - Assistance required,LS18 4,Horsforth,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS9 7,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS9 7,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS6 3,Kirkstall,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS8 4,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS7 3,Chapel Allerton,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS8 3,Gipton & Harehills,Help with food and essential shopping,Amber - Required in 2-6 days,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS12 4,Farnley & Wortley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS11 0,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS9 7,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS9 8,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS9 7,Gipton & Harehills,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS9 0,Temple Newsam,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS11 0,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS17 5,Alwoodley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,3rd Request - Assistance Required,LS11 0,Beeston & Holbeck,Food parcel|Fuel top up (pre-payment meter only|Baby products,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,4th Request - Assistance Required,LS9 0,Burmantofts & Richmond Hill,Food parcel,Amber - Required in 2-6 days,,,,,,,
25/06/2020 00:00,4th Request - Assistance Required,LS7 4,Chapel Allerton,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,4th Request - Assistance Required,LS11 0,Beeston & Holbeck,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,4th Request - Assistance Required,LS11 6,Hunslet & Riverside,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,4th Request - Assistance Required,LS8 3,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,4th Request - Assistance Required,LS13 4,Farnley & Wortley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,4th Request - Assistance Required,LS13 2,Bramley & Stanningley,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,4th Request - Assistance Required,LS11 6,Hunslet & Riverside,"Food parcel|Sanitary products, incontinence products or condoms",Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,4th Request - Assistance Required,LS15 0,Temple Newsam,Food parcel|Baby products,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,WF3 2,Ardsley & Robin Hood,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS4 2,Kirkstall,Help with food and essential shopping,Amber - Required in 2-6 days,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS8 3,Killingbeck & Seacroft,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,WF3 1,Ardsley & Robin Hood,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS12 1,Armley,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS8 3,Killingbeck & Seacroft,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS15 8,Cross Gates & Whinmoor,Pick up a prescription,Green - Required in 7 days or more,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS9 8,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS10 2,Hunslet & Riverside,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS12 1,Armley,,,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS28 8,Pudsey,Help with food and essential shopping,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS9 7,Burmantofts & Richmond Hill,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS10 4,Middleton Park,Befriending and reassurance (by phone),Amber - Required in 2-6 days,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS8 3,Gipton & Harehills,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS25 7,Kippax & Methley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS17 6,Moortown,Pick up a prescription,Green - Required in 7 days or more,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS17 6,Moortown,Pick up a prescription,Green - Required in 7 days or more,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS10 3,Middleton Park,Help with food and essential shopping|Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS8 5,Gipton & Harehills,Befriending and reassurance (by phone)|Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS17 6,Moortown,Befriending and reassurance (by phone),Amber - Required in 2-6 days,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS10 3,Middleton Park,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS10 3,Middleton Park,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS8 3,Gipton & Harehills,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS12 5,Farnley & Wortley,Help with food and essential shopping,Amber - Required in 2-6 days,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS9 6,Gipton & Harehills,Food parcel|Baby products,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS25 7,Kippax & Methley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS27 8,Morley South,Food parcel,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS11 7,Beeston & Holbeck,Help with food and essential shopping,Amber - Required in 2-6 days,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS14 6,Killingbeck & Seacroft,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS8 3,Gipton & Harehills,Food parcel|Fuel top up (pre-payment meter only,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS14 6,Killingbeck & Seacroft,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS11 8,Beeston & Holbeck,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS28 7,Calverley & Farsley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS25 7,Kippax & Methley,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS13 3,Bramley & Stanningley,Pick up a prescription,Amber - Required in 2-6 days,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS13 4,Pudsey,Pick up a prescription,Red - Required within 24 hours,,,,,,,
25/06/2020 00:00,Assistance required - non eligibility,LS13 3,Bramley & Stanningley,Pick up a prescription,Amber - Required in 2-6 days,,,,,,,
25/06/2020 00:00,Assistance required- DBS checked volunteer,LS10 3,Middleton Park,,,,,,,,,
25/06/2020 00:00,Declined Help,LS11 0,Beeston & Holbeck,,,,,,,,,
25/06/2020 00:00,Declined Help,LS13 3,Bramley & Stanningley,,,,,,,,,
25/06/2020 00:00,No further assistance,,,,,,,,,,,
